B,SVM,MLP,ALL
0.92,0.96,0.94,0.96
0.88,0.9,0.88,0.9
0.86,0.94,0.98,0.96
0.94,0.9,0.88,0.92
0.92,0.96,0.94,0.98
0.9,0.94,0.94,0.96
0.98,0.92,0.92,0.96
0.9,0.94,0.94,0.96
0.8,0.94,0.86,0.9
0.88,0.9,0.92,0.92
0.96,0.98,0.94,0.98
0.9,0.96,0.98,0.96
0.94,0.9,0.9,0.94
0.84,0.88,0.92,0.88
0.9,0.92,0.92,0.94
0.86,0.88,0.9,0.9
0.96,0.96,0.9,0.98
0.96,0.96,0.94,0.96
0.88,0.98,0.92,0.96
0.92,0.94,0.96,0.94
0.9,0.96,0.94,0.96
0.9,0.94,0.96,0.92
0.88,0.88,0.88,0.92
0.88,0.9,0.92,0.88
0.9,0.92,0.88,0.92
0.9,0.86,0.86,0.86
0.92,0.94,0.94,0.94
0.9,0.9,0.92,0.9
0.84,0.9,0.88,0.86
0.84,0.86,0.86,0.86
0.92,0.92,0.94,0.92
0.9,0.92,0.92,0.92
0.88,0.92,0.92,0.92
0.94,0.88,0.9,0.9
0.92,0.98,0.88,0.96
0.92,0.9,0.92,0.9
0.94,0.92,0.94,0.94
0.9,0.86,0.86,0.88
0.86,0.9,0.9,0.9
0.9,0.86,0.9,0.9
